,Country,Expenditure_RD,GDP,Expenditure,,Chocolate,Nobel
1, United States ,612.714,3.1,1866,2019,5.3,19.429
2, China ,514.798,2.2,368,2019,0.7,0.064
3, Japan ,172.614,3.2,1375,2019,1.8,2.202
4, India ,158.691,1.3,120,2022,,
5, Germany ,131.932,3.2,1586,2019,11.1,13.245
6, South Korea ,100.055,4.6,1935,2019,,
7, France ,63.658,2.2,944,2019,3.4,10.664
8, United Kingdom ,51.702,1.8,762,2019,,
9, Taiwan ,42.945,3.5,1822,2019,,
10, Russia ,38.549,1,263,2019,,
11, Brazil ,38,1.3,181,2017,1.2,0
12, Italy ,33.84,1.4,561,2019,3.1,3.373
13, Canada ,26.636,1.5,700,2019,3.9,6.765
14, Australia ,25.58,1.8,1008,2019,4.8,5.651
15, Turkey ,24.827,1.1,297,2019,,
16, Spain ,22.468,1.3,473,2019,4.5,1.724
17, Netherlands ,20.167,2.2,1154,2019,4.5,11.707
18, Sweden ,17.722,3.4,1707,2019,4.4,33.057
19, Israel ,16.888,4.9,1810,2019,,
20, Poland ,16.086,1.3,420,2019,2.2,4.986
21, Belgium ,16.043,2.9,1395,2019,6.4,8.697
22, Austria ,14.945,3.2,1672,2019,8.5,25.138
23,  Switzerland ,13.1,3,1648,2012,10.3,31.601
24, Thailand ,12.4,1,180,2017,,
25, Indonesia ,10.758,0.3,40,2021,,
26, Malaysia ,10.6,1.3,344,2015,,
27, Singapore ,10,2.2,1832,2014,,
28, Mexico ,9,0.9,238,2014,,
29, Denmark ,8.2,3.1,1450,2014,6.9,22.592
30, Finland ,7.2,2.8,1318,2018,7.4,9.021
31, Czech Republic ,6.3,2,600,2014,,
32, Egypt ,6.2,0.7,73,2013,,
33, South Africa ,6.1,0.8,108,2016,,
34, Norway ,5.8,1.7,1124,2014,9.2,24.284
35, Argentina ,5,0.5,112,2018,,
36, United Arab Emirates ,4.3,0.7,471,2014,,
37, Ireland ,3.6,1.5,779,2014,8.8,22.898
38, Portugal ,3.6,1.3,348,2014,3.6,1.943
39, Hungary ,3.4,1.4,343,2014,2.9,13.417
40, Ukraine ,3,0.8,74,2013,,
41, Hong Kong ,2.7,0.7,373,2012,,
42, Greece ,2.4,1,217,2014,2.5,1.795
43, Pakistan ,2.4,0.3,13,2013,,
44, Romania ,2.3,0.5,114,2016,3.6,2.043
45, New Zealand ,1.8,1.2,401,2013,,
46, Saudi Arabia ,1.8,0.3,60,2012,,
47, Colombia ,1.6,0.2,31,2014,,
48, Chile ,1.5,0.4,87,2014,,
49, Slovenia ,1.5,2.4,713,2014,,
50, Morocco ,1.5,0.7,48,2010,,
51, Slovakia ,1.4,0.9,251,2014,,
52, Qatar ,1.3,0.5,699,2012,,
53, Belarus ,1.1,0.7,118,2013,,
54, Vietnam ,0.9,0.2,10,2011,,
55, Kuwait ,0.8,0.3,214,2013,,
56, Bulgaria ,0.8,0.7,112,2013,,
57, Ecuador ,0.8,0.4,50,2016,,
58, Ethiopia ,0.8,0.6,9,2013,,
59, Tunisia ,0.8,0.7,73,2012,,
60, Lithuania ,0.8,0.9,245,2017,,
61, Luxembourg ,0.7,1.3,1253,2014,,
62, Croatia ,0.7,0.8,167,2013,6.6,5.143
63, Serbia ,0.7,0.7,98,2013,,
64, Iran ,0.7,0.1,9,2014,,
65, Kazakhstan ,0.7,0.2,39,2013,,
66, Philippines ,0.5,0.1,5,2007,,
67, Peru ,0.4,0.1,13,2015,,
68, Estonia ,0.3,1.6,453,2019,8.8,0
69, Azerbaijan ,0.3,0.2,36,2013,,
70, Latvia ,0.3,0.5,137,2017,,
71, Uganda ,0.3,0.5,8,2010,,
72, Costa Rica ,0.3,0.5,62,2011,,
73, Iceland ,0.3,1.9,831,2014,,
74, Mongolia ,0.3,0.2,74,2013,,
75, Uruguay ,0.2,0.3,70,2015,,
76, Sudan ,0.2,0.2,5,2007,,
77, Algeria ,0.2,0.1,4,2007,,
78, Cyprus ,0.1,0.5,151,2013,,
79, North Macedonia ,0.1,0.4,56,2013,,
80, Bosnia and Herzegovina ,0.1,0.3,32,2013,,
81, Malta ,0.1,0.9,271,2013,,
82, Bolivia ,0.1,0.2,7,2012,,
83, Botswana ,0.1,0.3,37,2012,,
84, Oman ,0.1,0.2,25,2013,,
85, Macau ,0.1,0.1,122,2014,,
86, Moldova ,0.1,0.4,16,2013,,
87, Bahrain ,0.1,0.1,45,2014,,
88, Paraguay ,0.1,0.1,9,2015,,
89, Georgia ,0.1,0.2,15,2014,,
90, Montenegro ,0,0.4,56,2013,,
